trial,angle,same,letter,response,rt,correct
1,120,False,K,j,1.258952500000305,True
2,0,True,P,f,0.6226411999996344,True
3,60,False,P,j,0.7302444000015385,True
4,30,False,G,j,1.4195072000002256,True
5,60,False,Q,j,0.968670000002021,True
6,0,False,G,j,1.0232864999998128,True
7,150,False,P,j,1.349560599999677,True
8,60,True,G,f,1.332714100000885,True
9,30,True,J,f,0.8785458000020299,True
10,180,True,Z,j,1.464580500000011,False
11,0,True,Q,f,1.0350579999976617,True
12,120,False,Z,j,1.032612599999993,True
13,90,False,R,j,1.8941250999996555,True
14,180,True,S,f,1.191685999998299,True
15,30,True,L,f,0.8392076000018278,True
16,150,True,G,j,1.267044000000169,False
17,30,False,J,j,0.9897032999979274,True
18,120,True,S,f,1.3651415000022098,True
19,90,True,J,f,1.4049082000019553,True
20,90,False,S,j,1.003292600002169,True
21,180,False,S,j,1.0016032000021369,True
22,60,True,G,f,1.2628394999992452,True
23,120,False,J,f,1.3709378999992623,False
24,90,True,P,f,1.0971236000004865,True
25,30,True,Z,f,1.3959245000005467,True
26,60,True,J,f,0.7371788999989803,True
27,30,True,Q,f,1.0587473999985377,True
28,60,True,Z,f,0.9509998000030464,True
29,30,False,F,j,1.038595099998929,True
30,0,False,Q,j,1.0591926999986754,True
31,30,False,P,j,0.8550856000001659,True
32,120,True,L,f,1.3701779000002716,True
33,60,False,S,j,1.5626836000010371,True
34,150,True,K,j,1.3382707999990089,False
35,90,True,J,f,1.1141420999992988,True
36,90,True,P,f,1.1162380000023404,True
37,150,False,S,j,1.2614329000025464,True
38,180,False,P,j,1.7208036000010907,True
39,120,True,Z,f,1.362328899998829,True
40,180,False,P,j,0.9783432000003813,True
41,150,False,S,j,1.7373240000015358,True
42,120,False,G,j,1.5864825999997265,True
43,60,False,S,j,1.7448821000034513,True
44,0,False,L,j,1.2419143000006443,True
45,120,True,K,f,1.6861410999990767,True
46,150,True,Q,f,1.689246699999785,True
47,0,False,G,j,1.3803933000017423,True
48,180,False,G,j,1.9711490999980015,True
49,0,True,F,f,0.8903778999992937,True
50,150,True,L,f,0.8360179999981483,True
51,180,True,J,f,1.585725299999467,True
52,90,False,Z,j,2.0569739999991725,True
53,90,False,J,j,1.3083580999991682,True
54,0,True,P,f,0.7495099999978265,True
55,150,False,K,f,2.045407100002194,False
56,180,True,P,f,1.618555999997625,True
