trial,angle,same,letter,response,rt,correct
1,120,False,L,,5.0,False
2,180,False,F,,5.0,False
3,30,True,J,,5.0,False
4,150,False,S,,5.0,False
5,60,True,P,,5.0,False
6,150,True,K,,5.0,False
7,90,True,R,,5.0,False
8,120,True,P,,5.0,False
9,30,False,P,,5.0,False
10,60,True,K,,5.0,False
11,120,False,Z,,5.0,False
12,180,False,J,,5.0,False
13,150,True,F,,5.0,False
14,0,False,Z,,5.0,False
15,60,True,K,,5.0,False
16,180,True,P,,5.0,False
17,60,False,P,,5.0,False
18,0,False,Z,,5.0,False
19,0,True,F,,5.0,False
20,120,False,Q,,5.0,False
21,180,False,P,,5.0,False
22,90,True,P,,5.0,False
23,120,True,K,,5.0,False
24,30,False,Z,,5.0,False
25,90,True,Z,,5.0,False
26,0,True,L,,5.0,False
27,150,False,P,,5.0,False
28,90,True,S,,5.0,False
29,90,False,P,,5.0,False
30,30,False,Q,,5.0,False
31,120,False,Z,,5.0,False
32,60,False,G,,5.0,False
33,180,True,J,,5.0,False
34,150,False,Z,,5.0,False
35,30,True,Z,,5.0,False
36,0,False,F,,5.0,False
37,0,True,J,,5.0,False
38,150,True,Q,,5.0,False
39,90,False,Z,,5.0,False
40,120,True,L,,5.0,False
41,30,True,S,,5.0,False
42,150,False,Z,,5.0,False
43,180,True,S,,5.0,False
44,150,True,Q,,5.0,False
45,60,False,G,,5.0,False
46,0,True,F,,5.0,False
47,0,False,F,,5.0,False
48,180,False,Q,,5.0,False
49,60,False,J,,5.0,False
50,90,False,J,,5.0,False
51,60,True,J,,5.0,False
52,180,True,L,,5.0,False
53,120,True,Z,,5.0,False
54,30,True,G,,5.0,False
55,30,False,R,,5.0,False
56,90,False,S,,5.0,False
