trial,angle,same,letter,response,rt,correct
1,0,False,P,j,1.7291181000000506,True
2,120,False,Z,j,1.5911893000011332,True
3,120,False,J,f,1.0513726999997743,False
4,30,True,S,f,0.8516673000012815,True
5,150,False,K,j,1.1239609000003838,True
6,150,False,F,f,1.1457135999989987,False
7,120,False,Q,j,2.111273299997265,True
8,90,True,L,f,1.2861429000004136,True
