trial,angle,same,letter,response,rt,correct
1,0,False,F,j,1.2696535000031872,True
2,60,False,J,j,1.087532999998075,True
3,90,True,Q,f,1.6565515000002051,True
4,120,False,S,j,3.6527577999986534,True
5,150,False,R,j,1.9929310999978043,True
6,150,False,R,j,0.9118611000012606,True
7,120,False,Z,j,1.9937380000010307,True
8,0,True,Z,f,1.1931312999986403,True
9,90,False,S,j,1.2469913999993878,True
10,150,False,Q,j,2.24282089999906,True
11,0,True,K,f,1.3669330999982776,True
12,180,False,P,j,1.9349145999985922,True
13,120,True,F,f,1.104078300002584,True
14,90,False,R,j,1.8735447999970347,True
15,180,True,P,f,2.3009488999996393,True
16,180,False,L,j,1.9911097999975027,True
17,0,True,K,f,0.9335389999978361,True
18,180,False,J,j,1.3332784000012907,True
19,30,True,L,f,0.8950425000002724,True
20,60,True,G,f,0.8254115999989153,True
21,30,False,S,j,1.1904959000021336,True
22,90,True,G,f,2.0361252000002423,True
23,60,False,J,j,1.4099313000006077,True
24,90,True,J,f,1.25580379999883,True
25,150,True,F,f,1.6991439999983413,True
26,30,True,J,f,1.0855357000000367,True
27,0,False,F,j,2.9118135000026086,True
28,30,False,Q,j,1.0343548999990162,True
29,90,False,Q,j,0.7910098000029393,True
30,180,False,P,j,1.437729199999012,True
31,90,False,Z,j,1.249753399999463,True
32,120,True,R,f,1.2299047999986215,True
33,150,False,F,j,1.8671414999989793,True
34,0,True,G,f,0.9751462999993237,True
35,150,True,F,f,1.2221927999999025,True
36,150,True,G,f,1.51571580000018,True
37,180,True,S,j,2.228813600002468,False
38,120,True,P,f,1.2821374000013748,True
39,30,False,Z,j,1.1162438999999722,True
40,120,False,S,j,1.765886799999862,True
41,60,False,G,j,1.1565263000011328,True
42,60,True,R,f,1.8442704000008234,True
43,30,True,K,f,1.0497858000017004,True
44,60,True,J,f,1.669200100001035,True
45,150,True,S,f,1.8166211999996449,True
46,0,False,R,j,1.1182090999973298,True
47,60,True,R,f,0.8242578000026697,True
48,180,True,P,f,1.1729205000010552,True
49,120,True,Q,f,1.235418699998263,True
50,90,True,Q,f,0.7926326999986486,True
51,30,False,R,j,0.8475427999983367,True
52,120,False,R,j,1.4987719000018842,True
53,30,True,G,f,0.7884292000017012,True
54,180,True,Z,j,1.715687700001581,False
55,60,False,S,j,1.3090827000014542,True
56,0,False,J,j,1.7671211000015319,True
